S no.,Title,Price,Product Link
12,"vivo T3 Lite 5G (Vibrant Green, 128 GB)","₹11,499",https://www.flipkart.com/vivo-t3-lite-5g-vibrant-green-128-gb/p/itm977c89a44d373?pid=MOBHFTYBA6V3RVZE&lid=LSTMOBHFTYBA6V3RVZE3H4WTW&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBHFTYBA6V3RVZE.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
13,"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,499",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEPA4FFHCV&lid=LSTMOBGZRNEPA4FFHCVQ1YECQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBGZRNEPA4FFHCV.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
14,"Motorola g45 5G (Brilliant Green, 128 GB)","₹12,999",https://www.flipkart.com/motorola-g45-5g-brilliant-green-128-gb/p/itm156df63edff03?pid=MOBH3YKQQN3S9TQQ&lid=LSTMOBH3YKQQN3S9TQQIXCQDO&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH3YKQQN3S9TQQ.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
15,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 128 GB)","₹12,999",https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-breeze-blue-128-gb/p/itma30cb38861d4c?pid=MOBH2Q4PN6FWZCGV&lid=LSTMOBH2Q4PN6FWZCGVPMAT2I&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH2Q4PN6FWZCGV.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
16,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 128 GB)","₹12,999",https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-midnight-violet-128-gb/p/itma30cb38861d4c?pid=MOBH2Q4PGYYZDSRR&lid=LSTMOBH2Q4PGYYZDSRRJXREQR&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH2Q4PGYYZDSRR.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
17,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Feather Pink, 128 GB)","₹12,999",https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-feather-pink-128-gb/p/itma30cb38861d4c?pid=MOBH4GBFXAJPXAHQ&lid=LSTMOBH4GBFXAJPXAHQP94XCS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH4GBFXAJPXAHQ.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
18,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Midnight Violet, 256 GB)","₹15,999",https://www.flipkart.com/oppo-k12x-5g-45w-supervooc-charger-in-the-box-midnight-violet-256-gb/p/itma30cb38861d4c?pid=MOBH2Q4PGAVECMVA&lid=LSTMOBH2Q4PGAVECMVAWNAD45&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBH2Q4PGAVECMVA.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
19,"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹37,999",https://www.flipkart.com/samsung-galaxy-s23-5g-cream-128-gb/p/itmc77ff94cdf044?pid=MOBGMFFX5XYE8MZN&lid=LSTMOBGMFFX5XYE8MZNRGKCA5&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBGMFFX5XYE8MZN.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
20,"vivo T3x 5G (Crimson Bliss, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t3x-5g-crimson-bliss-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEQGWCCN4D&lid=LSTMOBGZRNEQGWCCN4DPIBMCT&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBGZRNEQGWCCN4D.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
21,"vivo T3x 5G (Celestial Green, 128 GB)","₹12,999",https://www.flipkart.com/vivo-t3x-5g-celestial-green-128-gb/p/itm263ed44f56cd5?pid=MOBGZRNEHZHTGNJ5&lid=LSTMOBGZRNEHZHTGNJ5KIBQXQ&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&iid=58d50e33-98b0-4088-be8a-793eb82b7087.MOBGZRNEHZHTGNJ5.SEARCH&ssid=niq2xkaj4g0000001734891168143&qH=1036ba3c4ed2c021
